episode no.,Episode_title,description,Episode_runtime,Released_on,Lead Cast Matches,Supporting Cast Matches,place_matches_cleaned,channel_title,publish_date,view_count,like_count,comment_count
3827,Jethalal Ka Worng Guess,"Bhide’s morning quote triggers Popatlal. Later, Jethalal gets worried when he finds out that Iyer's good news is not what he was thinking about. What will happen now?",21 mins,19-Jul-23,"Jethalal, Jetha",,,Sony SAB,2023-08-10T12:30:18Z,3383791,31963,416
3828,Jethalal Bribes Goli,Taarak and Jethalal ask Goli to go to Iyer’s house and find out about his good news. Will Iyer tell the good news to Goli?,21 mins,20-Jul-23,"Jethalal, Jetha, Goli",,,Sony SAB,2023-08-11T12:30:22Z,6466376,80561,1532
3829,Bazigar Iyer,"Jethalal is afraid of losing while everyone waits for Iyer to come and give the good news. Later, Champaklal learns about Jethalal and Iyer’s bet. Who will win this bet?",22 mins,21-Jul-23,Iyer,,,Sony SAB,2023-08-12T12:30:17Z,1308385,17309,373
3830,Car Ki Tamanna,"Jethalal congratulates Babita on her new car. Everyone in Gokuldham society wishes they also had a car. Later, Iyer and Babita meet Bagha, Nattu Kaka and Bawri to give them sweets.",21 mins,22-Jul-23,"Jethalal, Babita, Iyer, Bagha, Nattu",,Gokuldham Society,Sony SAB,2023-08-14T12:30:27Z,2560320,27300,387
3831,Toofani Din,"A big storm hits Mumbai, and Anjali asks Taarak not to go to the office. Later, Bagha and Nattu Kaka reach the shop and wait for Jethalal to come.",21 mins,24-Jul-23,"Jethalal, Taarak, Anjali, Bagha, Nattu",,,Sony SAB,2023-08-15T12:30:04Z,1718662,19395,287
3832,Barsat Mein Pareshani,Everyone gets a day off from work because of the heavy rains. Bhide plans to spend a romantic day with Madhavi but one of his students shows up. How will Bhide's day go?,21 mins,25-Jul-23,"Bhide, Madhavi",,,Sony SAB,2023-08-16T12:30:34Z,3075372,30950,391
3833,Haso Hasao Divas,Iyer plans to watch a movie with Babita at home while Tapu Sena is getting bored and decide to make everyone laugh and entertain them. What will Tapu Sena do now?,22 mins,26-Jul-23,"Tapu, Babita, Iyer",,,Sony SAB,2023-08-17T12:30:31Z,3331546,29180,378
3834,Bade Bhi Bane Bacche,Tapu calls the rest of the Gokuldham members outside in his unique style to have fun with them and celebrate the ‘Haso Hasao Divas’.,21 mins,27-Jul-23,Tapu,,Gokuldham Society,Sony SAB,2023-08-18T12:30:30Z,1770111,25939,606
3835,Bhagwan Krishna Ki Gokul Nagri,"Taarak’s boss scolds him for playing outside instead of working. Inspector Panday also celebrates ‘Haso Hasao Divas’ with Gokuldham members. Later, Lord Krishna gives his blessings to the Gokuldham society.",22 mins,28-Jul-23,Taarak,,Gokuldham Society,Sony SAB,2023-08-19T12:30:36Z,718480,11900,445
3836,Khushiyon Ke 15 Saal,Gokuldham Society celebrates 15 years of 'Taarak Mehta Ka Ooltah Chashmah' by reminiscing beautiful memories of the show.,44 mins,29-Jul-23,Taarak,,Gokuldham Society,Sony SAB,2023-08-21T12:30:29Z,891089,12029,182
3837,Champaklal Plays Pool,"Goli and Tapu have a pool competition which Goli tries to win by cheating. Tapu Sena decides to teach Champaklal how to play pool. Later, Mahila Mandal plans a trip to enjoy the lovely weather.",20 mins,31-Jul-23,Champaklal,,,Sony SAB,2023-08-22T12:30:36Z,5108427,41215,542
3838,Mehenge Tamatar,"Anjali tells Mahila Mandal that Taarak gave a polythene full of fresh tomatoes to the garbage man. Later, Sunita explains why she has increased the price of all the vegetables.",22 mins,01-Aug-23,"Taarak, Anjali",,,Sony SAB,2023-08-23T12:30:07Z,2538312,27403,384
3839,Tamatar Ka Achar,"Madhavi tells Bhide that she forgot to make Mr Nayar’s order of tomato pickles. Champkalal explains to Bhide the importance of respecting customers in business. Later, Bhide and Popatlal get into an accident.",21 mins,02-Aug-23,"Popatlal, Bhide, Madhavi",,,Sony SAB,2023-08-24T12:30:33Z,1338460,17254,199
3840,Tamatar Milna Hua Mushkil,Bhide struggles to find 40 kilos of tomatoes in one place. Bhide goes to Gada Electronics and sees a lot of tomatoes there. What will Bhide do now?,21 mins,03-Aug-23,Bhide,,,Sony SAB,2023-08-25T12:30:00Z,1331204,16805,222
3841,Tempo Mein Tamatar,"Bhide calls his uncle in Nashik who has a farm and asks him if he can give him tomatoes. Later, Taarak tells Bhide that a tempo full of tomatoes was looted on its way to Mumbai from Nashik. What will happen now?",21 mins,04-Aug-23,"Taarak, Bhide",,,Sony SAB,2023-08-26T12:30:02Z,1256394,15053,200
3842,Tamatar Ne Badhai Tension,"Baliya is Bhide's last hope for getting his hands on tomatoes in time. Taarak explains why the price of tomatoes has increased drastically. Meanwhile, the Bhide family passes their time by playing a game of cards and watching a movie together.",21 mins,05-Aug-23,"Taarak, Bhide",,,Sony SAB,2023-08-28T12:30:01Z,1390409,15506,257
3843,Tamatar Ki Chori,"Bhide and Madhavi get very happy when they see tomatoes. They are not able to bring all the tomatoes to their flat so Bhide decides to stay down with the tomatoes. Later, the tomatoes get stolen.",21 mins,07-Aug-23,"Bhide, Madhavi",,,Sony SAB,2023-08-29T12:30:22Z,1323444,16533,274
3844,Kon Hai Tamatar Chor?,Bhide thinks Tapu Sena is messing with him by hiding the tomatoes while Iyer blames Jethalal. Gokuldham society members try to figure out who could’ve stolen the tomatoes while Bhide calls Inspector Panday for help.,21 mins,08-Aug-23,"Jethalal, Tapu, Iyer, Bhide",,Gokuldham Society,Sony SAB,2023-08-30T12:30:22Z,1500768,17635,241
3845,Nau Do Gyaara,"Inspector Panday thinks someone from Gokuldham society has stolen Bhide’s tomatoes. Later, Inspector Panday sends his men to catch the rickshaw driver whom Abdul saw running away from the society.",21 mins,09-Aug-23,"Bhide, Abdul",,Gokuldham Society,Sony SAB,2023-08-31T12:30:14Z,1368081,18273,340
3846,Padosi Ne Ki Padosi Ki Madad,"Nobody is ready to believe that Popatlal is a thief, but Inspector Panday decides to arrest him. Later, Popatlal tells everyone what actually happened. Will Inspector Panday believe him?",21 mins,10-Aug-23,Popatlal,,,Sony SAB,2023-09-01T12:30:01Z,2016456,18611,330
3847,Gas Bich Mien Hui Khatam,Madhavi starts making tomato pickles for her customer while the gas cylinder at Bhide’s house gets over. What will happen now?,20 mins,11-Aug-23,"Bhide, Madhavi",,,Sony SAB,2023-09-02T12:30:33Z,2061843,24065,389
3848,Time Par Order Ready,Retrieving data. Wait a few seconds and try to cut or copy again.,22 mins,12-Aug-23,"Bhide, Madhavi",,,Sony SAB,2023-09-04T12:30:18Z,1175009,15715,302
3849,Independence Day Plans,"Bagha and Nattu Kaka tell Jethalal there has been a robbery in their village and ask for their salary in advance. Later, Tapu Sena makes plans for going for an outing instead of celebrating Independence Day with everyone.",18 mins,14-Aug-23,"Jethalal, Tapu, Bagha, Nattu",,,Sony SAB,2023-09-05T12:30:32Z,2780226,27655,469
3850,Bhide Vs Tapu Sena,"Bhide teaches his tuition kids about Independence Day. Later, Tapu Sena asks Bhide if they can go on a picnic to Khandala instead of celebrating Independence Day with everyone. Bhide asks Champaklal to teach the kids a lesson.",21 mins,15-Aug-23,"Tapu, Bhide, Tapu Sena",,,Sony SAB,2023-09-06T12:30:04Z,949506,12892,372
3851,Saare Bhartiya Bhai Bhai,"Bhide thanks Champaklal for guiding him in the right direction while Taarak writes a poem for Independence Day. Later, everyone gathers to celebrate Independence Day.",21 mins,16-Aug-23,"Taarak, Bapuji, Bhide",,,Sony SAB,2023-09-07T12:30:07Z,1341994,16785,168
3852,Long Drive Ke Sapne,"Taarak, Bhide and Jethalal decide to go to the office together while Jethalal gets a chance to ride with Babita in her car.",20 mins,17-Aug-23,"Jethalal, Taarak, Babita, Bhide",,,Sony SAB,2023-09-08T12:30:29Z,867026,11019,181
3853,Chintamani,"Dr Hathi’s patient, Chintamani, tells Dr Hathi that there is something wrong with him. Mahila Mandal meets for a kitty party while Goli gets ready to go to a medical camp.",21 mins,18-Aug-23,Goli,,,Sony SAB,2023-09-09T12:30:34Z,2793683,26438,192
3854,Namune Customers,All men from Gokuldham society gather to drink soda and talk about the kinds of customers they have to deal with.,16 mins,19-Aug-23,"Jethalal, Mehta, Sodhi, Bhide, Dr.Htahi, Iyer, Popatlal",,Gokuldham Society,Sony SAB,2023-09-11T12:30:02Z,1175599,14359,313
3855,Champaklal Is Sick,Bhide writes a good message on the society board. Champaklal catches a cold while Tapu tells Jethalal about maps on the phone.,22 mins,21-Aug-23,Champaklal,,Gokuldham Society,Sony SAB,2023-09-12T12:30:17Z,1401663,15773,207
3856,All The Best Goli,"Popatlal gets ready to go to somebody’s wedding, but Bhide drops green chutney on Popatlal’s new clothes. Tapu and Sony try to get the stain off his clothes. Will they be successful?",19 mins,22-Aug-23,Goli,,,Sony SAB,2023-09-13T12:30:23Z,1075362,13508,251
3857,Chintamani Piche Padh Gaya,Chintamani gets all his health tests done and shows his reports to Dr Hathi. Tapu takes Champaklal to Dr Hathi because he is not well. Will Champakal feel better after consulting Dr Hathi?,22 mins,23-Aug-23,"Tapu, Bapuji",,,Sony SAB,2023-09-14T12:30:18Z,1250510,14417,253
3858,Danger Bhai,"Dr Hathi tells his friends that he is fed up with Chintamani. Dr Hathi gets to know that Chitamani has fainted and is admitted to a hospital. Later, a man named Danger bhai comes to Gokuldham and looks for Dr Hathi.",19 mins,24-Aug-23,"Dr.Hathi, Chintamani",,Gokuldham Society,Sony SAB,2023-09-20T12:30:23Z,1264723,15014,247
3863,Inspector Panday Stops Danger Bhai,"Inspector Panday and his team arrive on time and save Champaklal from Danger Bhai’s injection. Later, Danger Bhai asks Inspector Panday to arrest Dr Hathi also for giving wrong medicine to his brother. What will happen now?",21 mins,30-Aug-23,Bapuji,,,Sony SAB,2023-09-21T12:30:03Z,2924678,32287,436
3864,Galat Dawai Ki Kahani,"Abdul tells everyone how he hid Dr Hathi from Danger Bhai and called Inspector Panday to save Dr Hathi. Later, Dr Hathi tells Inspector Panday what actually happened with Danger Bhai’s brother, Chintamani. Will Danger Bhai forgive Dr Hathi?",21 mins,31-Aug-23,Abdul,,,Sony SAB,2023-09-22T12:30:42Z,1657246,21731,413
3865,Soch Acchi Rakho,"Chintamani’s kids tell everyone that Chintamani is okay and get to know that Dr Hathi had nothing to do with Chintamani fainting. Later, all Gokuldham members talk to Chintamani and give him hope.",22 mins,01-Sep-23,"Chintamani, Gokuldham Members",,Gokuldham Society,Sony SAB,2023-09-23T12:30:21Z,3329129,31643,381
3866,Jethalal Ke Peeth Piche Hua Drama,"Jethalal comes back to Gokuldham society and Bhide tells him what happened in the society when he was not there. Later, Chintamani comes to the Gokuldham society with another health problem. What will Dr Hathi do now?",21 mins,02-Sep-23,"Jethalal, Jetha",,Gokuldham Society,Sony SAB,2023-09-25T12:30:19Z,1943694,23788,486
3867,Bhagwat Geeta Ka Shlok,"Sonu makes Bhide’s tension go away and asks him to write a shlok from Bhagwat Geeta on the society board. Bhide decides to test Tapu Sena. Later, Bhide and Tapu get into a fight.",21 mins,04-Sep-23,"Tapu, Bhide",,Gokuldham Society,Sony SAB,2023-09-26T12:30:29Z,4806959,44775,640
3868,Tapu Ki Maafi,Bhide and Jethalal get into a fight when Bhide tells Jethalal that Tapu insulted him. Tapu apologises to Bhide for talking back to him and tells him that Tapu Sena won’t do Dahi Handi this year. What will happen now?,21 mins,05-Sep-23,Tapu,,,Sony SAB,2023-09-27T12:30:30Z,929791,12017,375
3869,Iccha Purti Matki,A monk comes to Gokuldham society’s temple and gives Tapu Sena an Iccha Purti Matki and says whoever breaks it on Janmashtami his wishes will come true. Who will get to break this matki?,22 mins,06-Sep-23,Tapu,,Gokuldham Society,Sony SAB,2023-09-28T12:30:00Z,708513,9615,274
3870,Emergency Society Meeting,"Madhavi tells Mahila Mandal about the Iccha Purti matki while Popatlal gets angry because no one told him about the society’s emergency meeting. Later, everyone gets excited about Iccha Purti matki.",17 mins,07-Sep-23,"Popatlal, Madhavi",,Gokuldham Society,Sony SAB,2023-09-29T12:30:01Z,3352537,35667,626
3871,Matki Phodne Ka Decision,"Champaklal tells Jethalal about Iccha Purti matki. Later, everyone gathers for the emergency meeting and waits for Bhide. What is taking Bhide so long?",20 mins,08-Sep-23,"Jethalal, Bapuji, Bhide",,,Sony SAB,2023-09-30T12:30:33Z,1085390,16164,428
3872,Gokuldham Society Janmashtami Mahotsav,"Gokuldham Society members unanimously agree to let Popatlal break the Iccha Purti matki on Janmashtami and wish for a happily married life. However, Popatlal decides to do something else with the matki. What is he planning?",20 mins,09-Sep-23,Popatlal,,Gokuldham Society,Sony SAB,2023-10-02T12:30:37Z,796921,11112,257
3873,Iccha Purti Matki Ke Rules,"Gokuldham society celebrates Janmashthami. Later, each family can put down only one name from their family for Iccha Purti matki. Who will get this golden chance?",21 mins,11-Sep-23,Gokuldham  members,,Gokuldham Society,Sony SAB,2023-10-03T12:30:27Z,987376,13438,183
3874,Ek Pareshaan Parivar,"Everyone is excited to know who will break the Iccha Purti matki. Later, a couple comes to Gokuldham society and tells everyone that their son has only a few days left to live.",21 mins,12-Sep-23,Gokuldham  members,,Gokuldham Society,Sony SAB,2023-10-04T12:30:17Z,1128330,14618,287
3875,Sabne Chintan Ko Chuna,Everyone asks Chintan to break the Iccha Purti matki. Tapu Sena helps him break the matki but he keeps falling down. Will he be able to break the matki?,22 mins,13-Sep-23,Tapu,,,Sony SAB,2023-10-05T12:30:01Z,321410,4833,75
3876,Sabka Bhala Socho,"Chintan reveals that he didn’t pray for his good health while breaking the matki. Later, all the Gokuldham men sit and chat at the clubhouse, but Jethalal is missing. Where is he?",21 mins,14-Sep-23,Jethalal,,Gokuldham Society,Sony SAB,2023-10-06T12:30:26Z,3297961,30902,308
3877,B.K. Su,"Gokuldham men talk about business. Jethalal tells Champakal that Tapu is still young to join the business. Later, Jethalal doesn’t agree with Bhide’s message on the society board. What does the message say?",21 mins,15-Sep-23,"Jethalal, Tapu, Bhide",,Gokuldham Society,Sony SAB,2023-10-07T12:30:15Z,1643555,18668,352
3878,Paryushan Ki Shuruaat,"Tapu tells Champaklal that he wants to take him to Palitana. On arriving at his shop, Jethalal is happy to see it full of customers but short-staffed. Later, Bagha makes a mistake while accepting a payment. How will Jethalal react?",22 mins,16-Sep-23,"Jethalal, Tapu, Bapuji, Bagha",,,Sony SAB,2023-10-09T12:30:36Z,1527075,19427,327
3879,Imaandari,"Bagha tells Bawri that Gada Electronis lost ten thousand rupees because of his mistake and Bawri decides to help them. Later, Nattu Kaka finds out something suspicious in the office account. What is it?",21 mins,18-Sep-23,"Bagha, Nattu",,,Sony SAB,2023-10-10T12:30:36Z,2428804,28150,324
3880,Workload Se Pareshaan,"Jethalal gets worried when he finds out that Dhanraj Seth has not given other people’s money either. Later, Taarak gives advice to Jethalal to keep a manager in his shop to divide the workload. How will Nattu Kaka and Bagha react to this?",22 mins,19-Sep-23,"Jethalal, Taarak, Bagha, Nattu",,,Sony SAB,2023-10-11T12:30:04Z,1053593,14961,238
3881,Manager Naam Ki Tension,"Jethalal's friends urge him to keep a manager for the shop. Meanwhile, Nattu Kaka says that he will leave his job at Gada Electronics if Jethalal hires a new manager. What will happen now?",21 mins,20-Sep-23,"Jethalal, Nattu",,,Sony SAB,2023-10-12T12:30:26Z,2965213,34141,370
3882,Badla Bartav,"Jethalal is looking for a manager for his shop while Nattu Kaka’s behaviour changes towards Jethalal. Later, Bagha and Nattu Kaka tell Jethalal they will leave their jobs if he keeps a manager. What will happen now?",21 mins,21-Sep-23,"Jethalal, Bagha, Nattu",,,Sony SAB,2023-10-13T12:30:14Z,1627425,20919,384
3883,Bawri Ki Pariksha,"Jethalal imagines what it would be like if he hired Bawri as a manager. Later, Jethalal asks Bawri to give a test so he can decide if she’s fit to become a manager or not. Will Bawri pass the test?",22 mins,22-Sep-23,Bawri,,,Sony SAB,2023-10-14T12:30:01Z,4008961,43603,516
3884,Payment Mila Ya Nahi?,"Bagha eagerly waits for Bawri to return with the payment. Later, Bawri tells everyone that she didn’t get the payment from Dhanraj Seth. What will happen now?",21 mins,23-Sep-23,Bagha,,,Sony SAB,2023-10-16T12:30:36Z,1997484,26521,398
